Language (simple),Language,n-body,spectral-norm,pidigits,fannkuch-redux,reverse-complement,k-nucleotide,fasta,binary-trees,mandelbrot,regex-redux
Ada,Ada 2005 GNAT,8.83,2,1.75,10.23,0.71,11.32,4.08,8.27,5.59,6.7
C,C gcc,9.12,2,1.74,8.66,0.48,6.67,1.32,2.44,1.64,1.48
Chapel,Chapel,20.6,3.99,1.61,11.22,1.68,18.31,1.69,14.15,5.47,8.16
C#,C# .NET Core,21.37,4.07,3.03,14.44,0.78,11.47,2.09,8.26,5.83,30.74
C++,C++ g++,8.23,2.02,1.88,10.61,0.64,7.75,1.49,2.55,1.64,1.61
Dart,Dart,27.5,15.92,,91.29,23.94,33.02,8.1,38.02,20.5,30.08
Erlang,Erlang HiPE,,15.75,14.65,103.25,11.34,113.83,27.9,7.63,119.91,
F#,F# .NET Core,22.86,4.22,0.25,16.65,0.82,10.43,1.67,8.54,6.66,31.02
Fortran,Fortran Intel,8.21,1.98,,12.93,1.17,,2.91,5.84,6.16,
Go,Go,21.47,3.94,2.03,14.44,0.54,14.98,2.17,34.42,5.48,28.49
Hack,Hack,666.77,31.83,,226.71,,59.22,41.54,10.9,42.45,3.44
Haskell,Haskell,21.43,4.04,,15.4,1.4,8.7,9.36,13.3,11.69,
Java,Java,22.1,4.23,3.12,17.26,1.03,8.7,2.33,8.34,6.04,10.34
Javascript,Javascript,26.61,15.79,,89.63,4.14,61.24,9.8,45.39,17.72,4.22
Lisp,LISP SBCL,27.25,4.55,1.78,16.9,2.58,17.37,7.99,11.63,7.74,
Lua,Lua,404.83,193.27,,1383.93,17.55,184.25,50.08,468.12,250.1,
Ocaml,Ocaml,21.67,4.31,,16.12,0.79,21.63,6,10.03,55.18,0.23
Pascal,Pascal Free Pascal,22.35,3.98,1.73,17.9,1.99,,10.85,36.42,14.62,3.81
Perl,Perl,710.66,41.83,3.5,570.21,2.48,64.22,99.64,183.13,729.09,14.66
PHP,PHP,353.84,37.09,2.12,233.57,2.79,41.39,59.12,79.01,118.07,2.63
Python,Python 3,838.39,180.97,3.43,565.97,3.26,77.65,59.47,93.55,225.24,15.22
Racket,Racket,53.1,5.33,2.17,82.36,4.24,82.03,17.26,26.96,19.53,0.67
Ruby,Ruby,641.41,119.33,2.97,671.17,3.73,95.27,99.67,47.66,520.83,25.64
Rust,Rust,13.57,2.27,1.74,10.59,0.37,5.06,1.47,4.02,1.97,3.05
Smalltalk,Smalltalk VW,194.34,32.22,13.37,694.43,30.82,652.47,47.34,31.15,214.93,
Swift,Swift,21.96,3.97,1.76,10.08,1,20.55,2.41,4.98,3.31,74.22
TypeScript,TypeScript,27.11,15.8,,139.53,4.13,,15.95,44.51,10.86,4.2
